ds,y
2016-10-04,9821.42
2016-10-05,7209.500000000001
2016-10-06,6798.899999999999
2016-10-07,6824.46
2016-10-08,8475.93
2017-01-20,4656.049999999999
2017-01-23,7221.59
2017-01-24,5943.210000000001
2017-01-25,8196.07
2017-01-26,14824.80000000001
2017-01-27,12458.149999999998
2017-01-28,5710.009999999999
2017-01-29,6593.76
2017-01-30,11277.149999999996
2017-01-31,11818.160000000002
2017-02-01,8788.700000000003
2017-02-02,10334.070000000002
2017-02-03,10797.080000000004
2017-02-04,15320.150000000001
2017-02-05,10035.210000000003
2017-02-06,10892.490000000003
2017-02-07,16004.010000000006
2017-02-08,13516.289999999997
2017-02-09,10568.42
2017-02-10,14486.49
2017-02-11,5233.150000000001
2017-02-12,16389.819999999996
2017-02-13,12174.710000000008
2017-02-14,12357.960000000001
2017-02-15,7734.14
2017-02-16,6842.42
2017-02-17,8059.21
2017-02-18,8451.14
2017-02-20,8318.07
2017-02-21,8982.230000000001
2017-02-22,7024.960000000002
2017-02-23,7790.550000000001
2017-02-24,7779.199999999999
2017-02-25,4347.75
2017-02-26,6101.02
2017-02-27,6721.860000000002
2017-02-28,11992.410000000002
2017-03-01,14190.98
2017-03-02,12575.460000000005
2017-03-03,13919.140000000007
2017-03-04,10024.790000000003
2017-03-05,8092.320000000002
2017-03-06,10605.150000000001
2017-03-07,13190.060000000003
2017-03-08,14774.640000000003
2017-03-09,13001.780000000004
2017-03-10,14005.73999999999
2017-03-11,12089.77
2017-03-12,7711.890000000003
2017-03-13,18563.440000000006
2017-03-14,16171.190000000006
2017-03-15,16477.950000000004
2017-03-16,16463.940000000006
2017-03-17,13522.029999999997
2017-03-18,17588.749999999996
2017-03-19,7728.080000000004
2017-03-20,19327.850000000002
2017-03-21,13166.640000000001
2017-03-22,16338.040000000003
2017-03-23,18402.829999999998
2017-03-24,11554.400000000003
2017-03-25,10896.759999999998
2017-03-26,7356.920000000002
2017-03-27,18517.1
2017-03-28,13533.920000000002
2017-03-29,9662.029999999999
2017-03-30,11172.340000000006
2017-03-31,13705.019999999999
2017-04-01,18862.369999999995
2017-04-02,10449.4
2017-04-03,10300.270000000002
2017-04-04,14152.99
2017-04-05,20080.089999999997
2017-04-06,20966.289999999997
2017-04-07,14605.909999999998
2017-04-08,9688.06
2017-04-09,9077.65
2017-04-10,13049.659999999996
2017-04-11,8400.58
2017-04-12,8925.150000000001
2017-04-13,11213.930000000002
2017-04-14,7950.879999999997
2017-04-15,9225.82
2017-04-16,6046.41
2017-04-17,8628.010000000002
2017-04-18,23433.86
2017-04-19,13527.610000000002
2017-04-20,14461.900000000001
2017-04-21,10048.390000000001
2017-04-22,14736.680000000004
2017-04-23,11506.540000000003
2017-04-24,15435.599999999995
2017-04-25,16136.780000000004
2017-04-26,18037.640000000007
2017-04-27,11475.529999999999
2017-04-28,17803.15
2017-04-29,13295.689999999999
2017-04-30,9289.560000000001
2017-05-01,13923.189999999997
2017-05-02,19905.34
2017-05-03,12105.77
2017-05-04,15778.170000000006
2017-05-05,15902.530000000004
2017-05-06,16591.62
2017-05-07,18674.860000000004
2017-05-08,18708.369999999995
2017-05-09,23487.359999999993
2017-05-10,22639.81999999999
2017-05-11,21041.730000000003
2017-05-12,13918.650000000001
2017-05-13,9772.58
2017-05-14,16509.650000000005
2017-05-15,21047.980000000003
2017-05-16,24204.95
2017-05-17,21127.089999999993
2017-05-18,20801.42000000001
2017-05-19,20476.479999999992
2017-05-20,12230.230000000003
2017-05-21,20063.299999999996
2017-05-22,27312.019999999993
2017-05-23,19913.850000000006
2017-05-24,26523.729999999996
2017-05-25,17383.909999999996
2017-05-26,12246.380000000008
2017-05-27,15158.26000000001
2017-05-28,11107.240000000003
2017-05-29,20620.449999999993
2017-05-30,15732.559999999998
2017-05-31,21941.91
2017-06-01,21730.329999999994
2017-06-02,21013.75999999999
2017-06-03,12232.840000000002
2017-06-04,15701.849999999999
2017-06-05,25970.019999999993
2017-06-06,16124.160000000002
2017-06-07,15102.21000000001
2017-06-08,21913.610000000004
2017-06-09,18443.480000000003
2017-06-10,9467.000000000004
2017-06-11,16386.879999999997
2017-06-12,16716.100000000002
2017-06-13,16285.230000000014
2017-06-14,23184.149999999998
2017-06-15,14140.560000000005
2017-06-16,14547.830000000005
2017-06-17,12474.049999999997
2017-06-18,17556.37
2017-06-19,25319.010000000013
2017-06-20,13653.900000000007
2017-06-21,7196.180000000001
2017-06-22,10159.550000000003
2017-06-23,15044.51
2017-06-24,9781.5
2017-06-25,19861.190000000006
2017-06-26,14631.390000000001
2017-06-27,19575.960000000006
2017-06-28,16811.260000000002
2017-06-29,14275.040000000006
2017-06-30,14750.450000000004
2017-07-01,13357.439999999988
2017-07-02,13329.83000000001
2017-07-03,17704.269999999997
2017-07-04,17626.42
2017-07-05,23844.870000000006
2017-07-06,24168.18999999999
2017-07-07,15647.800000000001
2017-07-08,11897.069999999998
2017-07-09,9915.729999999998
2017-07-10,20397.340000000004
2017-07-11,22602.05999999999
2017-07-12,21757.949999999993
2017-07-13,17675.370000000003
2017-07-14,21665.779999999995
2017-07-15,13070.38
2017-07-16,15085.010000000006
2017-07-17,25133.74
2017-07-18,31844.610000000004
2017-07-19,19302.120000000003
2017-07-20,21031.579999999994
2017-07-21,14917.540000000003
2017-07-22,13279.2
2017-07-23,13682.85
2017-07-24,21300.629999999997
2017-07-25,19767.31
2017-07-26,13352.490000000005
2017-07-27,18440.829999999998
2017-07-28,22607.759999999995
2017-07-29,17426.579999999994
2017-07-30,14388.600000000006
2017-07-31,20077.729999999996
2017-08-01,24807.849999999984
2017-08-02,20673.820000000003
2017-08-03,21257.45999999999
2017-08-04,21112.700000000008
2017-08-05,14282.710000000005
2017-08-06,15305.720000000005
2017-08-07,26629.340000000007
2017-08-08,21527.549999999996
2017-08-09,23298.080000000005
2017-08-10,23196.089999999993
2017-08-11,22059.170000000006
2017-08-12,14433.460000000005
2017-08-13,14373.59
2017-08-14,21243.99000000001
2017-08-15,26883.569999999992
2017-08-16,24353.539999999986
2017-08-17,21116.32999999999
2017-08-18,19514.789999999997
2017-08-19,15017.000000000007
2017-08-20,14955.170000000004
2017-08-21,25168.010000000006
2017-08-22,19680.579999999998
2017-08-23,18593.79
2017-08-24,15702.290000000008
2017-08-25,16589.62000000001
2017-08-26,11658.230000000007
2017-08-27,15414.31
2017-08-28,24637.720000000012
2017-08-29,36458.68999999999
2017-08-30,33063.139999999985
2017-08-31,22824.04999999999
2017-09-01,31762.639999999996
2017-09-02,20215.959999999995
2017-09-03,30749.18
2017-09-04,28186.67999999999
2017-09-05,24058.059999999998
2017-09-06,28254.369999999995
2017-09-07,19096.760000000002
2017-09-08,14052.140000000007
2017-09-09,17080.58
2017-09-10,20041.510000000002
2017-09-11,26817.75
2017-09-12,31485.62999999997
2017-09-13,31513.56999999999
2017-09-14,26057.64
2017-09-15,21050.709999999985
2017-09-16,21758.71
2017-09-17,22826.039999999994
2017-09-18,31138.009999999987
2017-09-19,22906.86
2017-09-20,25690.709999999995
2017-09-21,21483.109999999997
2017-09-22,18108.129999999997
2017-09-23,11530.580000000002
2017-09-24,15371.220000000005
2017-09-25,20365.149999999994
2017-09-26,24567.690000000006
2017-09-27,24083.230000000014
2017-09-28,26042.47000000001
2017-09-29,31075.779999999988
2017-09-30,13706.619999999999
2017-10-01,21048.670000000002
2017-10-02,24937.449999999993
2017-10-03,29647.49999999998
2017-10-04,24518.80999999999
2017-10-05,28373.149999999998
2017-10-06,19876.140000000003
2017-10-07,17222.979999999992
2017-10-08,19424.089999999993
2017-10-09,33381.73999999999
2017-10-10,31450.930000000022
2017-10-11,21848.660000000003
2017-10-12,21724.54
2017-10-13,25706.51
2017-10-14,15715.400000000005
2017-10-15,21097.050000000007
2017-10-16,34432.30999999998
2017-10-17,34316.95999999998
2017-10-18,31501.859999999986
2017-10-19,26785.549999999985
2017-10-20,21436.399999999998
2017-10-21,16798.549999999996
2017-10-22,22539.73
2017-10-23,25126.529999999995
2017-10-24,25676.45000000001
2017-10-25,20594.980000000003
2017-10-26,24937.539999999994
2017-10-27,23077.410000000007
2017-10-28,18741.9
2017-10-29,20048.320000000007
2017-10-30,22367.969999999994
2017-10-31,26760.929999999986
2017-11-01,22029.17
2017-11-02,23825.629999999997
2017-11-03,26036.149999999987
2017-11-04,22074.219999999987
2017-11-05,19815.71999999999
2017-11-06,32103.929999999993
2017-11-07,23396.09
2017-11-08,22458.68
2017-11-09,28045.130000000005
2017-11-10,22010.460000000003
2017-11-11,26054.41999999999
2017-11-12,25953.39
2017-11-13,28630.28999999999
2017-11-14,30755.359999999997
2017-11-15,26278.569999999996
2017-11-16,32236.159999999985
2017-11-17,33589.37999999999
2017-11-18,26543.379999999997
2017-11-19,23273.600000000006
2017-11-20,49072.99
2017-11-21,38506.59000000001
2017-11-22,28780.66999999999
2017-11-23,49748.15000000001
2017-11-25,70683.25999999995
2017-11-26,52162.52999999996
2017-11-27,55887.39
2017-11-28,55990.29999999998
2017-11-29,46164.909999999974
2017-11-30,36079.21999999999
2017-12-01,44851.77999999998
2017-12-02,35241.11999999997
2017-12-03,33702.97
2017-12-04,51721.87999999999
2017-12-05,39049.38999999999
2017-12-06,44917.869999999995
2017-12-07,32437.079999999994
2017-12-08,33204.45
2017-12-09,23321.180000000008
2017-12-10,27627.429999999993
2017-12-11,38433.88
2017-12-12,37772.82999999999
2017-12-13,33706.349999999984
2017-12-14,29203.299999999985
2017-12-15,30506.85
2017-12-16,22701.57
2017-12-17,21775.649999999998
2017-12-18,33366.81
2017-12-19,23852.03999999997
2017-12-20,30531.39999999998
2017-12-21,21091.47000000001
2017-12-22,16417.62
2017-12-23,13952.560000000007
2017-12-24,6653.69
2017-12-25,12059.380000000003
2017-12-26,23271.05999999999
2017-12-27,20625.700000000008
2017-12-28,17346.699999999993
2017-12-29,18620.089999999993
2017-12-30,15189.489999999994
2017-12-31,9924.699999999999
2018-01-01,8245.67
2018-01-02,28935.99
2018-01-03,35871.96999999999
2018-01-04,39116.619999999995
2018-01-05,30206.500000000004
2018-01-06,32447.809999999983
2018-01-07,32749.230000000003
2018-01-08,43919.459999999985
2018-01-09,34945.58
2018-01-10,43639.97999999999
2018-01-11,45848.37999999998
2018-01-12,35877.310000000005
2018-01-13,31861.10999999998
2018-01-14,34945.42999999998
2018-01-15,44181.93000000002
2018-01-16,48922.60000000005
2018-01-17,41245.28
2018-01-18,32638.340000000007
2018-01-19,32189.139999999985
2018-01-20,26659.090000000007
2018-01-21,25626.299999999996
2018-01-22,42926.40000000001
2018-01-23,39498.86000000003
2018-01-24,35946.84000000001
2018-01-25,33729.65999999998
2018-01-26,38732.82999999998
2018-01-27,24564.61999999999
2018-01-28,25641.230000000007
2018-01-29,35422.019999999975
2018-01-30,34174.41999999999
2018-01-31,37176.85999999997
2018-02-01,35169.74999999998
2018-02-02,31558.68999999999
2018-02-03,26740.48
2018-02-04,27642.05000000001
2018-02-05,41183.279999999984
2018-02-06,39158.649999999994
2018-02-07,35838.49000000003
2018-02-08,31527.539999999975
2018-02-09,34627.499999999985
2018-02-10,24332.259999999987
2018-02-11,25356.65
2018-02-12,27536.85999999999
2018-02-13,27425.08000000001
2018-02-14,42700.66999999998
2018-02-15,36727.519999999975
2018-02-16,31415.460000000003
2018-02-17,29049.53000000001
2018-02-18,28538.119999999977
2018-02-19,32947.11999999999
2018-02-20,42180.210000000036
2018-02-21,36890.27000000001
2018-02-22,35576.59999999999
2018-02-23,32866.43
2018-02-24,27999.58000000001
2018-02-25,33900.74000000002
2018-02-26,49657.04999999999
2018-02-27,46614.42999999997
2018-02-28,51007.39999999999
2018-03-01,45237.18999999999
2018-03-02,36904.01999999998
2018-03-03,30780.479999999974
2018-03-04,35533.63
2018-03-05,43688.23000000002
2018-03-06,44866.099999999984
2018-03-07,41584.0
2018-03-08,33059.59
2018-03-09,32245.93
2018-03-10,29695.969999999987
2018-03-11,36317.38000000003
2018-03-12,35245.42999999999
2018-03-13,40303.19999999997
2018-03-14,27150.510000000006
2018-03-15,48505.73000000002
2018-03-16,37682.100000000006
2018-03-17,23539.63999999999
2018-03-18,35452.600000000006
2018-03-19,51174.549999999996
2018-03-20,42122.05000000003
2018-03-21,45667.679999999986
2018-03-22,36150.420000000006
2018-03-23,31492.419999999987
2018-03-24,27433.670000000006
2018-03-25,29948.34
2018-03-26,41107.030000000006
2018-03-27,39307.05999999999
2018-03-28,31423.559999999994
2018-03-29,32832.21
2018-03-30,25993.330000000013
2018-03-31,28154.19
2018-04-01,33208.59000000001
2018-04-02,46569.03999999999
2018-04-03,41790.840000000026
2018-04-04,42190.710000000014
2018-04-05,41827.62000000001
2018-04-06,30713.490000000013
2018-04-07,28285.119999999995
2018-04-08,27502.169999999995
2018-04-09,55344.94000000001
2018-04-10,31879.440000000017
2018-04-11,44426.53000000003
2018-04-12,39744.349999999984
2018-04-13,34785.480000000025
2018-04-14,22305.810000000005
2018-04-15,36145.24
2018-04-16,46876.41
2018-04-17,39357.92000000003
2018-04-18,44845.55999999997
2018-04-19,49231.16000000002
2018-04-20,31389.13000000004
2018-04-21,22309.620000000003
2018-04-22,31803.79000000003
2018-04-23,43741.629999999976
2018-04-24,48920.640000000014
2018-04-25,46862.91000000003
2018-04-26,36424.31000000004
2018-04-27,45325.990000000005
2018-04-28,25846.43000000001
2018-04-29,22756.579999999998
2018-04-30,40467.47999999999
2018-05-01,37911.35000000003
2018-05-02,42472.00000000004
2018-05-03,47935.09999999999
2018-05-04,44708.26999999998
2018-05-05,32029.900000000016
2018-05-06,32174.889999999996
2018-05-07,60805.35999999999
2018-05-08,53989.69000000005
2018-05-09,49598.24000000002
2018-05-10,56936.609999999986
2018-05-11,43139.649999999994
2018-05-12,33775.159999999996
2018-05-13,36076.259999999995
2018-05-14,60753.86999999997
2018-05-15,49218.01000000001
2018-05-16,63957.96000000004
2018-05-17,35328.37000000003
2018-05-18,35661.18
2018-05-19,28140.17
2018-05-20,22624.449999999993
2018-05-21,28743.66
2018-05-22,31382.439999999995
2018-05-23,20262.29000000002
2018-05-24,22206.439999999995
2018-05-25,18137.37
2018-05-26,16914.090000000004
2018-05-27,14693.68
2018-05-28,30114.990000000016
2018-05-29,29430.63000000001
2018-05-30,22279.18
2018-05-31,27373.260000000017
2018-06-01,37282.66999999999
2018-06-02,28870.670000000006
2018-06-03,32375.799999999996
2018-06-04,33866.17000000003
2018-06-05,35864.929999999986
2018-06-06,32176.980000000014
2018-06-07,42676.380000000005
2018-06-08,31031.820000000018
2018-06-09,33831.9
2018-06-10,30117.300000000003
2018-06-11,57313.280000000006
2018-06-12,46630.25999999998
2018-06-13,40557.09000000001
2018-06-14,32553.160000000007
2018-06-15,31134.140000000014
2018-06-16,28607.930000000004
2018-06-17,20657.66999999999
2018-06-18,39769.34000000001
2018-06-19,39427.640000000014
2018-06-20,34251.51000000001
2018-06-21,33152.96999999998
2018-06-22,28484.580000000005
2018-06-23,21043.650000000005
2018-06-24,29291.6
2018-06-25,41024.31
2018-06-26,36970.519999999975
2018-06-27,32505.929999999982
2018-06-28,37148.279999999984
2018-06-29,24857.31000000001
2018-06-30,18502.500000000004
2018-07-01,28512.390000000003
2018-07-02,29113.410000000003
2018-07-03,31209.76999999999
2018-07-04,41009.49000000002
2018-07-05,33574.029999999984
2018-07-06,21828.249999999993
2018-07-07,10942.079999999996
2018-07-08,17107.239999999994
2018-07-09,22894.0
2018-07-10,21572.530000000002
2018-07-11,21278.719999999998
2018-07-12,22767.579999999998
2018-07-13,32529.399999999987
2018-07-14,25593.40999999999
2018-07-15,33876.60000000001
2018-07-16,36252.970000000016
2018-07-17,34775.58999999999
2018-07-18,48588.04999999999
2018-07-19,44557.37999999997
2018-07-20,37905.61999999998
2018-07-21,25123.690000000002
2018-07-22,30939.74000000001
2018-07-23,47195.39999999999
2018-07-24,46345.99000000001
2018-07-25,47594.659999999996
2018-07-26,41183.95999999999
2018-07-27,33017.34
2018-07-28,29350.48999999999
2018-07-29,34233.33000000001
2018-07-30,44165.90999999999
2018-07-31,52768.26
2018-08-01,48066.120000000024
2018-08-02,44848.389999999985
2018-08-03,48819.740000000034
2018-08-04,40237.94000000001
2018-08-05,41282.340000000004
2018-08-06,62728.22000000002
2018-08-07,55638.22000000001
2018-08-08,50372.35000000006
2018-08-09,46295.4
2018-08-10,38944.43
2018-08-11,30511.589999999997
2018-08-12,34260.37
2018-08-13,45431.41
2018-08-14,51138.499999999985
2018-08-15,52083.75000000004
2018-08-16,41691.659999999996
2018-08-17,36948.71000000002
2018-08-18,28475.760000000002
2018-08-19,29966.5
2018-08-20,39075.889999999985
2018-08-21,30773.189999999995
2018-08-22,24203.620000000014
2018-08-23,19540.56000000001
2018-08-24,11090.53
