ds,y
2016-10-03,42593.92999999999
2017-01-23,60947.58999999999
2017-01-30,78370.52000000003
2017-02-06,87090.66999999994
2017-02-13,59815.389999999985
2017-02-20,50343.77999999998
2017-02-27,77516.95999999985
2017-03-06,85379.02999999996
2017-03-13,106515.3799999998
2017-03-20,97043.43999999987
2017-03-27,95902.17999999992
2017-04-03,98871.25999999994
2017-04-10,64812.42999999997
2017-04-17,96342.98999999995
2017-04-24,101473.94999999991
2017-05-01,112881.47999999991
2017-05-08,126078.15999999977
2017-05-15,139951.44999999987
2017-05-22,129645.38999999993
2017-05-29,128973.7
2017-06-05,123407.35999999993
2017-06-12,114904.28999999966
2017-06-19,101015.83999999992
2017-06-26,106731.36999999994
2017-07-03,120804.3500000001
2017-07-10,132253.88999999996
2017-07-17,139191.64
2017-07-24,127284.20000000006
2017-07-31,137517.9899999999
2017-08-07,145517.2800000002
2017-08-14,143084.39000000007
2017-08-21,122806.83000000005
2017-08-28,199711.38000000012
2017-09-04,150770.09999999992
2017-09-11,181510.0500000001
2017-09-18,146228.6200000002
2017-09-25,160889.61000000007
2017-10-02,164000.1199999999
2017-10-09,170924.83000000007
2017-10-16,187811.35999999978
2017-10-23,158203.13000000006
2017-10-30,162909.79000000015
2017-11-06,180022.09999999995
2017-11-13,201306.73999999982
2017-11-20,464132.65000000165
2017-11-27,307917.6899999995
2017-12-04,252279.2799999999
2017-12-11,214100.42999999982
2017-12-18,145865.5899999999
2017-12-25,117037.12000000008
2018-01-01,207573.78999999986
2018-01-08,271037.2499999999
2018-01-15,251462.67999999985
2018-01-22,241040.43999999916
2018-01-29,227884.26999999947
2018-02-05,232024.36999999936
2018-02-12,223393.2399999996
2018-02-19,242360.9499999998
2018-02-26,295734.2000000001
2018-03-05,261457.20000000048
2018-03-12,247879.21000000037
2018-03-19,263989.1300000002
2018-03-26,232025.97000000032
2018-04-02,258878.99000000017
2018-04-09,264631.7900000006
2018-04-16,265813.5899999997
2018-04-23,269878.48999999993
2018-04-30,277698.99000000063
2018-05-07,334320.9700000006
2018-05-14,295684.01000000123
2018-05-21,152339.96999999994
2018-05-28,207727.20000000056
2018-06-04,239565.4800000004
2018-06-11,257453.53000000058
2018-06-18,225421.2899999999
2018-06-25,219521.2400000004
2018-07-02,184784.27
2018-07-09,180512.24000000022
2018-07-16,258143.0399999998
2018-07-23,278921.17000000016
2018-07-30,320188.69999999995
2018-08-06,318750.57999999967
2018-08-13,285736.29000000004
2018-08-20,145754.70999999988
